deal_True,category,askedfor,exchangeforstake,valuation,title,multEntr_True
1,Music,725000,10,7250000,ZinePak,1
0,Online Services,120000,18,666667,SnagaStool,1
1,Fitness Apparel and Accessories,100000,10,1000000,Noene USA,0
0,Men and Women's Apparel,200000,8,2500000,Buck Mason,1
1,Outdoor Recreation,75000,20,375000,World Record Striper Company,0
0,Men and Women's Accessories,150000,4,4285714,Frameri,1
0,Specialty Food,150000,20,750000,The Paleo Diet Foods,0
1,Automotive,5000000,50,10000000,Zero Pollution Motors,1
1,Novelties,100000,10,1000000,You Kick Ass,1
0,Outdoor Recreation,400000,15,2666667,Sunscreen Mist,1
1,Education,3000000,10,30000000,SynDaver Labs,0
1,Online Services,100000,20,500000,Zoom Interiors,0
1,Toys and Games,500000,10,5000000,Spikeball,0
1,Outdoor Recreation,100000,5,2000000,Shark Wheel,1
0,Entertainment,100000,20,500000,Gato Cafe,0
1,Automotive,300000,10,3000000,Sway Motorsports,0
